capacity_max|Maximum capacity (number of people)|number|person
product_ty_attr_361|HDR|enum|
product_ty_attr_362|Smart TV|enum|
product_ty_attr_364|Dahili Uydu Alıcı|enum|
product_ty_attr_365|Wi-Fi Özelliği|enum|
product_ty_attr_366|Havlu Tipi|enum|
product_ty_attr_369|Yıl|enum|
product_ty_attr_37|Çeşit|enum|
product_ty_attr_370|Araç Marka ve Model|enum|
product_ty_attr_371|Atım Sayısı|enum|
product_ty_attr_372|Uygulama Alanı|enum|
product_ty_attr_373|Su Kapasitesi|enum|
product_ty_attr_374|Damlama Emniyeti|enum|
product_ty_attr_375|Otomatik Kapanma|enum|
product_ty_attr_376|Mama Numarası|enum|
product_ty_attr_377|Spor Branşı|enum|
product_ty_attr_378|Kurutma Özelliği|enum|
product_ty_attr_379|Sesli İkaz|enum|
product_ty_attr_380|Taşma Emniyeti|enum|
product_ty_attr_382|Hazne Kapasitesi|enum|
product_ty_attr_4|Cilt Tipi|enum|
product_ty_attr_40|Form|enum|
product_ty_attr_41|Fırça Kılı Sertliği|enum|
product_ty_attr_42|Kullanım Amacı|enum|
product_ty_attr_424|Ampül Başlık Sayısı|enum|
product_ty_attr_425|Baca Tipi|enum|
product_ty_attr_426|İşlemci Modeli|enum|
product_ty_attr_427|Sync Teknolojisi|enum|
product_ty_attr_428|Tepki Süresi|enum|
product_ty_attr_43|Hacim|enum|
product_ty_attr_430|Pişirme Özelliği|enum|
product_ty_attr_432|Trendyol Özellik 432|enum|
product_ty_attr_433|Garanti Süresi|enum|
product_ty_attr_434|Ücretsiz Kurulum/Montaj|enum|
product_ty_attr_437|Gitar Tipi|enum|
product_ty_attr_438|Matkap Türü|enum|
product_ty_attr_439|Piyano Tipi|enum|
product_ty_attr_44|Ağırlık|enum|
product_ty_attr_440|Kumaş Teknolojisi|enum|
product_ty_attr_445|Trendyol Özellik 445|enum|
product_ty_attr_449|Davlumbaz Tipi|enum|
product_ty_attr_45|Paket Adedi|enum|
product_ty_attr_450|Maksimum Emiş Gücü|enum|
product_ty_attr_452|Sınıf|enum|
product_ty_attr_453|Uzunluk / Çap|enum|
product_ty_attr_454|En|enum|
product_ty_attr_457|Sınav Tipi|enum|
product_ty_attr_458|Basım Dili|enum|
product_ty_attr_46|Etki|enum|
product_ty_attr_461|Isı Ayarı|enum|
product_ty_attr_463|Maşa Çapı|enum|
product_ty_attr_466|Trendyol Özellik 466|enum|
product_ty_attr_467|Hard Disk Kapasitesi|enum|
product_ty_attr_47|Renk|enum|
product_ty_attr_472|Top Bedeni|enum|
product_ty_attr_473|Astar Durumu|enum|
product_ty_attr_474|Fincan Kapasitesi|enum|
product_ty_attr_478|Çalışma Tipi|enum|
product_ty_attr_48|Boy|enum|
product_ty_attr_487|Hız Aralığı|enum|
product_ty_attr_488|Katlanabilme|enum|
product_ty_attr_49|Özellik|enum|
product_ty_attr_491|Defter Tipi|enum|
product_ty_attr_492|Trendyol Özellik 492|enum|
product_ty_attr_493|Yapıştırıcı Tipi|enum|
product_ty_attr_494|Trendyol Özellik 494|enum|
product_ty_attr_495|Klasör Formu|enum|
product_ty_attr_5|Çerçeve Tipi|enum|
product_ty_attr_50|SPF|enum|
product_ty_attr_503|Trendyol Özellik 503|enum|
product_ty_attr_504|HDMI|enum|
product_ty_attr_505|DVI-I|enum|
product_ty_attr_506|DVI-D|enum|
product_ty_attr_508|HDCP|enum|
product_ty_attr_509|Mini DisplayPort|enum|
product_ty_attr_51|Kullanma Amacı|enum|
product_ty_attr_511|Dahili Hoparlör|enum|
product_ty_attr_516|Menzil|enum|
product_ty_attr_517|Max. Hız (km/h)|enum|
product_ty_attr_518|Trendyol Özellik 518|enum|
product_ty_attr_519|Trendyol Özellik 519|enum|
product_ty_attr_523|RAM Kapasitesi|enum|
product_ty_attr_524|Trendyol Özellik 524|enum|
product_ty_attr_525|Trendyol Özellik 525|enum|
product_ty_attr_526|Çift Hat|enum|
product_ty_attr_53|Kullanım|enum|
product_ty_attr_530|Müzik Türleri|enum|
product_ty_attr_531|Sanatçı|enum|
product_ty_attr_532|Ebatlar|enum|
product_ty_attr_534|Trendyol Özellik 534|enum|
product_ty_attr_538|Islak Zeminde Frenleme|enum|
product_ty_attr_539|Yakıt Verimliliği|enum|
product_ty_attr_54|Görünüm|enum|
product_ty_attr_540|Araç Tipi|enum|
product_ty_attr_541|Açma / Kapama|enum|
product_ty_attr_546|Bilek Desteği|enum|
product_ty_attr_547|Trendyol Özellik 547|enum|
product_ty_attr_55|Fırça Tipi|enum|
product_ty_attr_556|İçerik|enum|
product_ty_attr_557|Gramaj|enum|
product_ty_attr_56|Kıl Tipi|enum|
product_ty_attr_560|Metraj|enum|
product_ty_attr_561|Set İçerik Adeti|enum|
product_ty_attr_57|Kapatıcılık|enum|
product_ty_attr_574|Seri|enum|
product_ty_attr_58|Şekil|enum|
product_ty_attr_59|Saç Tipi|enum|
product_ty_attr_6|Duy Tipi|enum|
product_ty_attr_60|Güç|enum|
product_ty_attr_605|Çarşaf Türü|enum|
product_ty_attr_609|Litre|enum|
product_ty_attr_61|Bıçak Sayısı|enum|
product_ty_attr_63|Plaka Materyali|enum|
product_ty_attr_631|Ağaç Boyu|enum|
product_ty_attr_633|Viskozite|enum|
product_ty_attr_635|Ürün Detayı|enum|
product_ty_attr_636|Teknik|enum|
product_ty_attr_638|Akü Volt|enum|
product_ty_attr_639|Trendyol Özellik 639|enum|
product_ty_attr_64|Maksimum Sıcaklık|enum|
product_ty_attr_641|Üretim Şekli|enum|
product_ty_attr_643|Yakıt|enum|
product_ty_attr_644|Trendyol Özellik 644|enum|
product_ty_attr_647|Aktif Gürültü Önleme (ANC)|enum|
product_ty_attr_648|Model Yılı|enum|
product_ty_attr_649|Ethernet|enum|
product_ty_attr_65|Trendyol Özellik 65|enum|
product_ty_attr_650|USB|enum|
product_ty_attr_651|Kanal Yapısı|enum|
product_ty_attr_652|Bluetooth|enum|
product_ty_attr_653|Suya/Tere Dayanıklılık|enum|
product_ty_attr_655|Mikrofon|enum|
product_ty_attr_658|Oyun Türü|enum|
product_ty_attr_66|Paket İçeriği|enum|
product_ty_attr_661|Trendyol Özellik 661|enum|
product_ty_attr_662|Uyumlu Cihaz|enum|
product_ty_attr_663|Ürün Türü|enum|
product_ty_attr_665|Ampul Ömrü (Eco Mod)|enum|
product_ty_attr_666|Parlaklık (Ansilümen)|enum|
product_ty_attr_668|Gövde Materyali|enum|
product_ty_attr_669|Paspas Türleri|enum|
product_ty_attr_67|Ağırlık / Hacim|enum|
product_ty_attr_671|Trendyol Özellik 671|enum|
product_ty_attr_672|Trendyol Özellik 672|enum|
product_ty_attr_676|Trendyol Özellik 676|enum|
product_ty_attr_677|Ön Kamera Sayısı|enum|
product_ty_attr_678|Ön Kamera Çözünürlük Aralığı|enum|
product_ty_attr_681|Trendyol Özellik 681|enum|
product_ty_attr_684|Trendyol Özellik 684|enum|
product_ty_attr_685|Trendyol Özellik 685|enum|
product_ty_attr_686|Trendyol Özellik 686|enum|
product_ty_attr_688|Trendyol Özellik 688|enum|
product_ty_attr_689|Trendyol Özellik 689|enum|
product_ty_attr_69|Altın Ayar|enum|
product_ty_attr_691|Mobil Bağlantı Hızı|enum|
product_ty_attr_692|GPS|enum|
product_ty_attr_693|NFC|enum|
product_ty_attr_694|Radio|enum|
product_ty_attr_695|Parmak İzi Okuyucu|enum|
product_ty_attr_696|Trendyol Özellik 696|enum|
product_ty_attr_697|Suya/Toza Dayanıklılık|enum|
product_ty_attr_698|Ekran Yenileme Hızı|enum|
product_ty_attr_7|Ekartman|enum|
product_ty_attr_70|Ampul Teknolojisi|enum|
